整体情况：
两个核：
time per syscall : 400       , total time : 17600     , total cnt : 44        , syscall name : sys_sched_setscheduler, mm : 0 pages
time per syscall : 1260      , total time : 5040      , total cnt : 4         , syscall name : sys_sched_getscheduler, mm : 0 pages
time per syscall : 1260      , total time : 5040      , total cnt : 4         , syscall name : sys_sched_getparam, mm : 0 pages
time per syscall : 506       , total time : 9120      , total cnt : 18        , syscall name : sys_sched_setaffinity, mm : 0 pages
time per syscall : 1440      , total time : 5760      , total cnt : 4         , syscall name : sys_sched_getaffinity, mm : 0 pages
time per syscall : 3578      , total time : 14136960  , total cnt : 3951      , syscall name : sys_kill, mm : -1179 pages
time per syscall : 13317     , total time : 167433680 , total cnt : 12572     , syscall name : sys_rt_sigaction, mm : 0 pages
time per syscall : 8337      , total time : 444399120 , total cnt : 53302     , syscall name : sys_rt_sigprocmask, mm : -532 pages
time per syscall : 682       , total time : 150080    , total cnt : 220       , syscall name : sys_rt_sigtimedwait, mm : 0 pages
time per syscall : 10293     , total time : 6927760   , total cnt : 673       , syscall name : sys_rt_sigreturn, mm : 0 pages
time per syscall : 8459      , total time : 3383600   , total cnt : 400       , syscall name : sys_uname, mm : 0 pages
time per syscall : 13769     , total time : 331187440 , total cnt : 24052     , syscall name : sys_getrusage, mm : 0 pages
time per syscall : 122       , total time : 16069520  , total cnt : 130831    , syscall name : sys_umask, mm : 0 pages
time per syscall : 797       , total time : 106453600 , total cnt : 133442    , syscall name : sys_getpid, mm : 0 pages
time per syscall : 818       , total time : 13411840  , total cnt : 16389     , syscall name : sys_getppid, mm : 0 pages
time per syscall : 252       , total time : 33541760  , total cnt : 132877    , syscall name : sys_getuid, mm : 0 pages
time per syscall : 520       , total time : 1040      , total cnt : 2         , syscall name : sys_getuid, mm : 0 pages
time per syscall : 2960      , total time : 5920      , total cnt : 2         , syscall name : sys_getegid, mm : 0 pages
time per syscall : 1268      , total time : 11162880  , total cnt : 8797      , syscall name : sys_gettid, mm : 0 pages
time per syscall : 375706    , total time : 1127120   , total cnt : 3         , syscall name : sys_sysinfo, mm : 0 pages
time per syscall : 491822    , total time : 6885520   , total cnt : 14        , syscall name : sys_shmget, mm : -36 pages
time per syscall : 28142     , total time : 394000    , total cnt : 14        , syscall name : sys_shmctl, mm : 14 pages
time per syscall : 42011     , total time : 588160    , total cnt : 14        , syscall name : sys_shmat, mm : -14 pages
time per syscall : 35370     , total time : 282960    , total cnt : 8         , syscall name : sys_socket, mm : -128 pages
time per syscall : 144506666 , total time : 29190346720, total cnt : 202       , syscall name : sys_socketpair, mm : -1889 pages
time per syscall : 30940     , total time : 123760    , total cnt : 4         , syscall name : sys_bind, mm : 0 pages
time per syscall : 12080     , total time : 24160     , total cnt : 2         , syscall name : sys_listen, mm : 0 pages
time per syscall : 11040     , total time : 22080     , total cnt : 2         , syscall name : sys_accept, mm : 0 pages
time per syscall : 47280     , total time : 94560     , total cnt : 2         , syscall name : sys_connect, mm : 0 pages
time per syscall : 15240     , total time : 60960     , total cnt : 4         , syscall name : sys_getsockname, mm : 0 pages
time per syscall : 96440     , total time : 192880    , total cnt : 2         , syscall name : sys_sendto, mm : 0 pages
time per syscall : 66840     , total time : 133680    , total cnt : 2         , syscall name : sys_recvfrom, mm : 0 pages
time per syscall : 2120      , total time : 4240      , total cnt : 2         , syscall name : sys_setsockopt, mm : 0 pages
time per syscall : 0         , total time : 0         , total cnt : 1         , syscall name : sys_shutdown, mm : 0 pages
time per syscall : 50934     , total time : 1390162640, total cnt : 27293     , syscall name : sys_brk, mm : -64653 pages
time per syscall : 36531     , total time : 240195200 , total cnt : 6575      , syscall name : sys_munmap, mm : 19161 pages
time per syscall : 3345470   , total time : 52279664160, total cnt : 15627     , syscall name : sys_clone, mm : -878863 pages
time per syscall : 130441134 , total time : 826344588320, total cnt : 6335      , syscall name : sys_execve, mm : -1315258 pages
time per syscall : 27935     , total time : 254069280 , total cnt : 9095      , syscall name : sys_mmap, mm : 1762 pages
time per syscall : 13712     , total time : 90760800  , total cnt : 6619      , syscall name : sys_mprotect, mm : 470 pages
time per syscall : 133       , total time : 164640    , total cnt : 1232      , syscall name : sys_msync, mm : 0 pages
time per syscall : 141       , total time : 21600     , total cnt : 153       , syscall name : sys_madvise, mm : 0 pages
time per syscall : 225674975 , total time : 2340926523360, total cnt : 10373     , syscall name : sys_wait4, mm : 954404 pages
time per syscall : 11802     , total time : 2903520   , total cnt : 246       , syscall name : sys_prlimit64, mm : 0 pages
time per syscall : 366400    , total time : 366400    , total cnt : 1         , syscall name : sys_renameat2, mm : 2 pages
time per syscall : 1053      , total time : 12640     , total cnt : 12        , syscall name : sys_membarrier, mm : 0 pages
time per syscall : 569040    , total time : 569040    , total cnt : 1         , syscall name : sys_print_vma, mm : 0 pages


iozone:
time per syscall : 178540    , total time : 714160    , syscall name : sys_mknod, mm : -12 pages
time per syscall : 86560     , total time : 86560     , syscall name : sys_getcwd, mm : 0 pages
time per syscall : 56400     , total time : 112800    , syscall name : sys_dup, mm : 0 pages
time per syscall : 28613     , total time : 85840     , syscall name : sys_fcntl, mm : 0 pages
time per syscall : 1531      , total time : 10720     , syscall name : sys_ioctl, mm : 0 pages
time per syscall : 583422    , total time : 5250800   , syscall name : sys_mkdirat, mm : -164 pages
time per syscall : 604954    , total time : 18148640  , syscall name : sys_unlinkat, mm : 8179 pages
time per syscall : 6640      , total time : 6640      , syscall name : sys_ftruncate, mm : 0 pages
time per syscall : 268633    , total time : 31430160  , syscall name : sys_openat, mm : -502 pages
time per syscall : 10994     , total time : 1363280   , syscall name : sys_close, mm : 5 pages
time per syscall : 6543      , total time : 207780960 , syscall name : sys_lseek, mm : 27 pages
time per syscall : 20075     , total time : 596254000 , syscall name : sys_read, mm : -7 pages
time per syscall : 50808     , total time : 2394540960, syscall name : sys_write, mm : -13317 pages
time per syscall : 33632     , total time : 413277600 , syscall name : sys_readv, mm : 84 pages
time per syscall : 56820     , total time : 725137600 , syscall name : sys_writev, mm : -1952 pages
time per syscall : 19590     , total time : 20060960  , syscall name : sys_pread64, mm : -1 pages
time per syscall : 77371     , total time : 316834800 , syscall name : sys_pwrite64, mm : -2360 pages
time per syscall : 69734517  , total time : 15899470080, syscall name : sys_pselect6, mm : 547 pages
time per syscall : 833184    , total time : 43325600  , syscall name : sys_fstatat, mm : -444 pages
time per syscall : 735       , total time : 30880     , syscall name : sys_sync, mm : 0 pages
time per syscall : 418       , total time : 45200     , syscall name : sys_fsync, mm : 2 pages
time per syscall : 0         , total time : 0         , syscall name : sys_exit, mm : 0 pages
time per syscall : 1676      , total time : 207920    , syscall name : sys_exit_group, mm : 2 pages
time per syscall : 2497      , total time : 44960     , syscall name : sys_set_tid_address, mm : 0 pages
time per syscall : 2042504568, total time : 81700182720, syscall name : sys_nanosleep, mm : 0 pages
time per syscall : 5600      , total time : 2666000   , syscall name : sys_clock_gettime, mm : 1 pages
time per syscall : 12507     , total time : 475280    , syscall name : sys_rt_sigaction, mm : 0 pages
time per syscall : 11892     , total time : 4531120   , syscall name : sys_rt_sigprocmask, mm : 0 pages
time per syscall : 11040     , total time : 99360     , syscall name : sys_uname, mm : 0 pages
time per syscall : 2009      , total time : 140640    , syscall name : sys_getpid, mm : -2 pages
time per syscall : 10400     , total time : 10400     , syscall name : sys_getppid, mm : 0 pages
time per syscall : 1040      , total time : 9360      , syscall name : sys_getuid, mm : 0 pages
time per syscall : 1684      , total time : 208880    , syscall name : sys_gettid, mm : 0 pages
time per syscall : 697120    , total time : 9759680   , syscall name : sys_shmget, mm : -36 pages
time per syscall : 33537     , total time : 469520    , syscall name : sys_shmctl, mm : 14 pages
time per syscall : 54308     , total time : 760320    , syscall name : sys_shmat, mm : -14 pages
time per syscall : 0         , total time : 0         , syscall name : sys_shutdown, mm : 0 pages
time per syscall : 65270     , total time : 2871920   , syscall name : sys_brk, mm : -65 pages
time per syscall : 4786166   , total time : 603056960 , syscall name : sys_clone, mm : -7478 pages
time per syscall : 31387333  , total time : 564972000 , syscall name : sys_execve, mm : -11823 pages
time per syscall : 24410     , total time : 390560    , syscall name : sys_mmap, mm : 0 pages
time per syscall : 1318482351, total time : 189861458640, syscall name : sys_wait4, mm : 5317 pages
time per syscall : 871600    , total time : 871600    , syscall name : sys_print_vma, mm : 0 pages


lmbench:
time per syscall : 187424    , total time : 937120    , syscall name : sys_mknod, mm : -12 pages
time per syscall : 83840     , total time : 83840     , syscall name : sys_getcwd, mm : 0 pages
time per syscall : 9606      , total time : 979840    , syscall name : sys_dup, mm : 0 pages
time per syscall : 27600     , total time : 82800     , syscall name : sys_fcntl, mm : 0 pages
time per syscall : 7040      , total time : 7040      , syscall name : sys_ioctl, mm : 0 pages
